City,County
ADAIRVILLE,LOGAN
ADAMS,LAWRENCE
ADOLPHUS,ALLEN
ALBANY,CLINTON
ALEXANDRIA,CAMPBELL
ALLEN,FLOYD
ALLENSVILLE,TODD
ALMO,CALLOWAY
ALPHA,CLINTON
ALVATON,WARREN
ANNVILLE,JACKSON
ARGILLITE,GREENUP
ARJAY,BELL
ARLINGTON,CARLISLE
ARTEMUS,KNOX
ARY,PERRY
ASHCAMP,PIKE
ASHLAND,BOYD
ASHLAND,BOYD
ATHOL,BREATHITT
AUBURN,LOGAN
AUGUSTA,BRACKEN
AUSTIN,BARREN
AUXIER,FLOYD
BAGDAD,SHELBY
BANNER,FLOYD
BARBOURVILLE,KNOX
BARDSTOWN,NELSON
BARDWELL,CARLISLE
BARLOW,BALLARD
BATTLETOWN,MEADE
BAXTER,HARLAN
BAYS,BREATHITT
BEAR BRANCH,LESLIE
BEATTYVILLE,LEE
BEAUMONT,METCALFE
BEAUTY,MARTIN
BEAVER,FLOYD
BEAVER DAM,OHIO
BEDFORD,TRIMBLE
BEE SPRING,EDMONSON
BEECH CREEK,MUHLENBERG
BEECHMONT,MUHLENBERG
BELCHER,PIKE
BELFRY,PIKE
BELLEVUE,CAMPBELL
BELTON,MUHLENBERG
BENTON,MARSHALL
BEREA,MADISON
BERRY,HARRISON
BETHELRIDGE,CASEY
BETHLEHEM,HENRY
BETSY LAYNE,FLOYD
BEVERLY,BELL
BEVINSVILLE,FLOYD
BIG CLIFTY,GRAYSON
BIG CREEK,CLAY
BIG LAUREL,HARLAN
BIMBLE,KNOX
BLACKEY,LETCHER
BLAINE,LAWRENCE
BLEDSOE,HARLAN
BLOOMFIELD,NELSON
BLUE RIVER,FLOYD
BOAZ,GRAVES
BONNIEVILLE,HART
BONNYMAN,PERRY
BOONEVILLE,OWSLEY
BOONS CAMP,JOHNSON
BOSTON,NELSON
BOWLING GREEN,WARREN
BOWLING GREEN,WARREN
BOWLING GREEN,WARREN
BRADFORDSVILLE,MARION
BRANDENBURG,MEADE
BREEDING,ADAIR
BREMEN,MUHLENBERG
BRODHEAD,ROCKCASTLE
BRONSTON,PULASKI
BROOKS,BULLITT
BROOKSVILLE,BRACKEN
BROWDER,MUHLENBERG
BROWNSVILLE,EDMONSON
BRYANTS STORE,KNOX
BUCKHORN,PERRY
BUCKNER,OLDHAM
BUFFALO,LARUE
BULAN,PERRY
BURDINE,LETCHER
BURKESVILLE,CUMBERLAND
BURLINGTON,BOONE
BURNA,LIVINGSTON
BURNSIDE,PULASKI
BUSY,PERRY
BUTLER,PENDLETON
BYPRO,FLOYD
CADIZ,TRIGG
CALHOUN,MCLEAN
CALIFORNIA,CAMPBELL
CALVERT CITY,MARSHALL
CALVIN,BELL
CAMPBELLSBURG,HENRY
CAMPBELLSVILLE,TAYLOR
CAMPTON,WOLFE
CANADA,PIKE
CANEYVILLE,GRAYSON
CANMER,HART
CANNEL CITY,MORGAN
CANNON,KNOX
CARLISLE,NICHOLAS
CARROLLTON,CARROLL
CATLETTSBURG,BOYD
CAVE CITY,BARREN
CAWOOD,HARLAN
CECILIA,HARDIN
CENTER,METCALFE
CENTERTOWN,OHIO
CENTRAL CITY,MUHLENBERG
CERULEAN,TRIGG
CHAPLIN,NELSON
CHAPPELL,LESLIE
CHAVIES,PERRY
CITY,COUNTY
CLARKSON,GRAYSON
CLAY,WEBSTER
CLAY CITY,POWELL
CLAYHOLE,BREATHITT
CLEARFIELD,ROWAN
CLINTON,HICKMAN
CLOSPLINT,HARLAN
CLOVERPORT,BRECKINRIDGE
COALGOOD,HARLAN
COLDIRON,HARLAN
COLUMBIA,ADAIR
COLUMBUS,HICKMAN
COMBS,PERRY
CORBIN,WHITLEY
CORINTH,GRANT
CORNETTSVILLE,PERRY
CORYDON,HENDERSON
COVINGTON,KENTON
COVINGTON,KENTON
COVINGTON,KENTON
COXS CREEK,NELSON
CRAB ORCHARD,LINCOLN
CRANKS,HARLAN
CRESTWOOD,OLDHAM
CRITTENDEN,GRANT
CROFTON,CHRISTIAN
CROMWELL,OHIO
CUB RUN,HART
CUMBERLAND,HARLAN
CUNNINGHAM,CARLISLE
CUSTER,BRECKINRIDGE
CYNTHIANA,HARRISON
DANA,FLOYD
DANVILLE,BOYLE
DAVID,FLOYD
DAWSON SPRINGS,HOPKINS
DAYTON,CAMPBELL
DE MOSSVILLE,PENDLETON
DEANE,LETCHER
DEBORD,MARTIN
DELPHIA,PERRY
DEMA,KNOTT
DENNISTON,MENIFEE
DENTON,CARTER
DEXTER,CALLOWAY
DIXON,WEBSTER
DOVER,MASON
DRAKESBORO,MUHLENBERG
DRIFT,FLOYD
DRY RIDGE,GRANT
DUBRE,CUMBERLAND
DUNBAR,BUTLER
DUNDEE,OHIO
DUNMOR,MUHLENBERG
DUNNVILLE,CASEY
DWALE,FLOYD
EARLINGTON,HOPKINS
EAST BERNSTADT,LAUREL
EAST POINT,JOHNSON
EASTERN,FLOYD
EASTVIEW,HARDIN
EDDYVILLE,LYON
EDMONTON,METCALFE
EIGHTY EIGHT,BARREN
EKRON,MEADE
ELIZABETHTOWN,HARDIN
ELK HORN,TAYLOR
ELKFORK,MORGAN
ELKHORN CITY,PIKE
ELKTON,TODD
EMERSON,LEWIS
EMINENCE,HENRY
EMMALENA,KNOTT
EOLIA,LETCHER
ERLANGER,KENTON
ERMINE,LETCHER
ESSIE,LESLIE
ETOILE,BARREN
EUBANK,PULASKI
EVARTS,HARLAN
EWING,FLEMING
EZEL,MORGAN
FAIRDALE,JEFFERSON
FALLS OF ROUGH,ROUGH 40119 GRAYSON
FALMOUTH,PENDLETON
FANCY FARM,GRAVES
FARMINGTON,GRAVES
FEDSCREEK,PIKE
FERGUSON,PULASKI
FINCHVILLE,SHELBY
FISHERVILLE,JEFFERSON
FLAT LICK,KNOX
FLATGAP,JOHNSON
FLATWOODS,GREENUP
FLEMINGSBURG,FLEMING
FLORENCE,BOONE
FORDSVILLE,OHIO
FOREST HILLS,PIKE
FORT CAMPBELL,CHRISTIAN
FORT KNOX,HARDIN
FORT THOMAS,CAMPBELL
FOSTER,BRACKEN
FOUNTAIN RUN,MONROE
FOURMILE,BELL
FRAKES,BELL
FRANKFORT,FRANKLIN
FRANKLIN,SIMPSON
FREDONIA,CALDWELL
FREEBURN,PIKE
FRENCHBURG,MENIFEE
FT MITCHELL,KENTON
FULTON,FULTON
GAMALIEL,MONROE
GARFIELD,BRECKINRIDGE
GARNER,KNOTT
GARRETT,FLOYD
GARRISON,LEWIS
GAYS CREEK,PERRY
GEORGETOWN,SCOTT
GERMANTOWN,BRACKEN
GHENT,CARROLL
GILBERTSVILLE,MARSHALL
GIRDLER,KNOX
GLASGOW,BARREN
GLENCOE,GALLATIN
GLENDALE,HARDIN
GLENS FORK,ADAIR
GORDON,LETCHER
GOSHEN,OLDHAM
GRACEY,CHRISTIAN
GRADYVILLE,ADAIR
GRAHAM,MUHLENBERG
GRAND RIVERS,LIVINGSTON
GRAVEL SWITCH,MARION
GRAY,KNOX
GRAYSON,CARTER
GREEN ROAD,KNOX
GREENSBURG,GREEN
GREENUP,GREENUP
GREENVILLE,MUHLENBERG
GRETHEL,FLOYD
GULSTON,HARLAN
GUNLOCK,MAGOFFIN
GUSTON,MEADE
GUTHRIE,TODD
HAGERHILL,JOHNSON
HALLIE,LETCHER
HAMPTON,LIVINGSTON
HANSON,HOPKINS
HAPPY,PERRY
HARDIN,MARSHALL
HARDINSBURG,BRECKINRIDGE
HARDY,PIKE
HARDYVILLE,HART
HARLAN,HARLAN
HARNED,BRECKINRIDGE
HAROLD,FLOYD
HARRODSBURG,MERCER
HARTFORD,OHIO
HAWESVILLE,HANCOCK
HAZARD,PERRY
HAZEL,CALLOWAY
HAZEL GREEN,WOLFE
HEBRON,BOONE
HEIDRICK,KNOX
HELLIER,PIKE
HELTON,LESLIE
HENDERSON,HENDERSON
HERNDON,CHRISTIAN
HESTAND,MONROE
HI HAT,FLOYD
HICKMAN,FULTON
HICKORY,GRAVES
HILLSBORO,FLEMING
HINDMAN,KNOTT
HINKLE,KNOX
HITCHINS,CARTER
HODGENVILLE,LARUE
HOLLAND,ALLEN
HOLMES MILL,HARLAN
HOPE,BATH
HOPKINSVILLE,CHRISTIAN
HORSE BRANCH,OHIO
HORSE CAVE,HART
HUDDY,PIKE
HUDSON,BRECKINRIDGE
HUEYSVILLE,FLOYD
HULEN,BELL
HUSTONVILLE,LINCOLN
HYDEN,LESLIE
INDEPENDENCE,KENTON
INEZ,MARTIN
IRVINE,ESTILL
IRVINGTON,BRECKINRIDGE
ISLAND,MCLEAN
ISLAND CITY,OWSLEY
ISOM,LETCHER
ISONVILLE,ELLIOTT
IVEL,FLOYD
JACKHORN,LETCHER
JACKSON,BREATHITT
JAMESTOWN,RUSSELL
JEFF,PERRY
JEFFERSONVILLE,MONTGOMERY
JENKINS,LETCHER
JEREMIAH,LETCHER
JETSON,BUTLER
